;TEMPO;VDS;VG
17707;0.0079686;0.111919;0.53871
17708;0.00796905;0.111919;0.53871
17709;0.0079695;0.111708;0.53871
17710;0.00796995;0.112551;0.53871
17711;0.0079704;0.11213;0.53871
17712;0.00797085;0.111287;0.53871
17713;0.0079713;0.110865;0.53871
17714;0.00797175;0.111076;0.53871
17715;0.0079722;0.111497;0.53871
17716;0.00797265;0.111919;0.53871
17717;0.0079731;0.111919;0.53871
17718;0.00797355;0.111919;0.53871
17719;0.007974;0.111919;0.537525
17720;0.00797445;0.111708;0.53871
17721;0.0079749;0.111919;0.53871
17722;0.00797535;0.111919;0.536932
17723;0.0079758;0.111708;0.535747
17724;0.00797625;0.111919;0.53871
17725;0.0079767;0.111919;0.533969
17726;0.00797715;0.111919;0.533969
17727;0.0079776;0.111287;0.53871
17728;0.00797805;0.111497;0.53871
17729;0.0079785;0.111919;0.534561
17730;0.00797895;0.111919;0.53871
17731;0.0079794;0.111919;0.53871
17732;0.00797985;0.111919;0.53871
17733;0.0079803;0.111919;0.53871
17734;0.00798075;0.111919;0.53871
17735;0.0079812;0.111919;0.53871
17736;0.00798165;0.110443;0.536932
17737;0.0079821;0.110022;0.53871
17738;0.00798255;0.111287;0.53871
17739;0.007983;0.110233;0.53871
17740;0.00798345;0.110443;0.53871
17741;0.0079839;0.110654;0.53871
17742;0.00798435;0.110865;0.53871
17743;0.0079848;0.110022;0.53871
17744;0.00798525;0.105807;0.53871
17745;0.0079857;0.104331;0.53871
17746;0.00798615;0.109179;0.535747
17747;0.0079866;0.110022;0.53871
17748;0.00798705;0.110022;0.53871
17749;0.0079875;0.110022;0.53871
17750;0.00798795;0.110654;0.53871
17751;0.0079884;0.110022;0.53871
17752;0.00798885;0.110022;0.53871
17753;0.0079893;0.110022;0.53871
17754;0.00798975;0.110022;0.53871
17755;0.0079902;0.110022;0.53871
17756;0.00799065;0.110022;0.53871
17757;0.0079911;0.111708;0.53871
17758;0.00799155;0.111919;0.53871
17759;0.007992;0.110022;0.53871
17760;0.00799245;0.110022;0.53871
17761;0.0079929;0.110022;0.53871
17762;0.00799335;0.110022;0.53871
17763;0.0079938;0.110443;0.53871
17764;0.00799425;0.110022;0.53871
17765;0.0079947;0.110022;0.53871
17766;0.00799515;0.110022;0.53871
17767;0.0079956;0.110443;0.53871
17768;0.00799605;0.111919;0.53871
17769;0.0079965;0.111708;0.53871
17770;0.00799695;0.110654;0.53871
17771;0.0079974;0.110022;0.53871
17772;0.00799785;0.110443;0.53871
17773;0.0079983;0.110443;0.53871
17774;0.00799875;0.110022;0.53871
17775;0.0079992;0.110022;0.53871
17776;0.00799965;0.110233;0.53871
17777;0.0080001;0.110443;0.53871
17778;0.00800055;0.110022;0.53871
17779;0.008001;0.111708;0.536339
17780;0.00800145;0.11213;0.533376
17781;0.0080019;0.111708;0.537525
17782;0.00800235;0.111919;0.53871
17783;0.0080028;0.111708;0.53871
17784;0.00800325;0.111919;0.53871
17785;0.0080037;0.111919;0.53871
17786;0.00800415;0.111919;0.535154
17787;0.0080046;0.111919;0.533969
17788;0.00800505;0.111919;0.53871
17789;0.0080055;0.111919;0.53871
17790;0.00800595;0.111919;0.53871
17791;0.0080064;0.111919;0.536339
17792;0.00800685;0.111919;0.536932
17793;0.0080073;0.111919;0.538117
17794;0.00800775;0.111919;0.536932
17795;0.0080082;0.110022;0.53871
17796;0.00800865;0.111497;0.53871
17797;0.0080091;0.110443;0.53871
17798;0.00800955;0.110022;0.536339
17799;0.00801;0.111076;0.537525
17800;0.00801045;0.112973;0.537525
17801;0.0080109;0.112762;0.534561
17802;0.00801135;0.111497;0.53871
17803;0.0080118;0.111287;0.53871
17804;0.00801225;0.111919;0.53871
17805;0.0080127;0.111708;0.53871
17806;0.00801315;0.111287;0.536932
17807;0.0080136;0.111287;0.533376
17808;0.00801405;0.111287;0.535154
17809;0.0080145;0.111287;0.538117
17810;0.00801495;0.110233;0.535747
17811;0.0080154;0.111287;0.538117
17812;0.00801585;0.111919;0.53871
17813;0.0080163;0.110233;0.53871
17814;0.00801675;0.111919;0.53871
17815;0.0080172;0.113816;0.53871
17816;0.00801765;0.11234;0.538117
17817;0.0080181;0.111497;0.53871
17818;0.00801855;0.110654;0.53871
17819;0.008019;0.110022;0.53871
17820;0.00801945;0.110022;0.53871
17821;0.0080199;0.110022;0.53871
17822;0.00802035;0.110654;0.536932
17823;0.0080208;0.110022;0.536339
17824;0.00802125;0.111708;0.53871
17825;0.0080217;0.111919;0.53871
17826;0.00802215;0.111919;0.53871
17827;0.0080226;0.111287;0.53871
17828;0.00802305;0.110022;0.53871
17829;0.0080235;0.110022;0.533969
17830;0.00802395;0.110022;0.533376
17831;0.0080244;0.110022;0.537525
17832;0.00802485;0.110443;0.53871
17833;0.0080253;0.111919;0.53871
17834;0.00802575;0.111919;0.538117
17835;0.0080262;0.111497;0.53871
17836;0.00802665;0.110022;0.53871
17837;0.0080271;0.110022;0.53871
17838;0.00802755;0.110022;0.53871
17839;0.008028;0.110022;0.536932
17840;0.00802845;0.110022;0.53871
17841;0.0080289;0.110022;0.53871
17842;0.00802935;0.111497;0.53871
17843;0.0080298;0.110654;0.53871
17844;0.00803025;0.111076;0.53871
17845;0.0080307;0.111497;0.53871
17846;0.00803115;0.110443;0.53871
17847;0.0080316;0.110022;0.53871
17848;0.00803205;0.111076;0.53871
17849;0.0080325;0.110233;0.537525
17850;0.00803295;0.105385;0.536339
